argument,topic,example
"the modern death penalty  is intended to be painless and effective and the process is much more humane than electrocution, firing squads, or hanging, which were common  in the past",We should abolish capital punishment,capital punishment is inhumane and often an unfit punishment for the crime
we shouldnt subsidize space exploration we have world poverty which needs to be resolved and the money could go on funding that,We should subsidize space exploration,we should not subsidize space exploration because the money spent could be put to better use such as hunger and finding homes for our homeless.
payday loans trap vulnerable people into further debt.,Payday loans should be banned,payday loans take advantage of  the poor while charging insane interest rates.
we should prohibit flag burning because the flag is a symbol of one's country and by burning the flag it's like saying you don't like the country,We should prohibit flag burning,we should not prohibit flag burning because freedom of speech is one of the defining rights of the american citizens.
"if, without them, the students are left alone without people or a place to go for support",We should abolish safe spaces,"safe spaces are vital to many, especially on campuses where the students that feel excluded or discriminated against have a safe haven to enable them to feel comfortable in continuing their education"
polygamy should not be legalized and not for reasons of feelings but for the rights of each person to be respected and valued,We should legalize polygamy,"polygamy can be a perfectly valid form of union for many people, and legalising it will provide protection and rights for those involved."
compulsory voting will lend itself to uninformed voting.,We should introduce compulsory voting,"compulsory voting is not a democratic choice, for people  should always be allowed to express their dissent by abstaining from voting ."
targeted killing is a barbaric practice that turns our soldiers into mere assassins.,We should ban targeted killing,"targeted killing  is often carried out by unmanned drones, which are indiscriminate and kill many innocent people in the process."
"The mandatory use of public defenders will be helpful to those who think they can go without a lawyer, but end up really needing one.",The use of public defenders should be mandatory,public defenders should be mandatory because they can provide free legal representation to those who are accused
the uniformity of clothing creates a sense of belonging and a collective identity which encourages camaraderie between students and this allows for greater focus on studies,We should abandon the use of school uniform,uniforms remove some types of peer pressure surrounding students' appearance.
society is a collective and the most good comes from working together,We should oppose collectivism,collectivism takes care of everyone and not just those at the top
freedom to choose what to do with one's organ is too much freedom. government should step in and stop organ trading before it cripples our reputation.,We should legalize organ trade,organ trading is dangerous because it can result in harm to vulnerable people
"We should ban whaling because whales are keystone species in their ecosystems, whose decline is harmful to many other species as well.",We should ban whaling,whales are beautiful living creatures that have existed through time.  they should continue to prosper and ending whaling will help to increase the whale population.
polygamy is against the law and confuses the children.,We should legalize polygamy,"in this day and age, we recognize non-traditional family structures as legitimate and polygamy should be no different."
telemarketing allows consumers to hear information about products they might might not otherwise have the opportunity to learn about.,We should ban telemarketing,telemarketing is annoying for people as they do not request a phone call and vunerable people such as the elderly often feel threatened into taking part.
missionary work should be banned because an organization should not force a culture to change.,We should ban missionary work,missionary work should be banned as it can be abused and vulnerable people can be taken advantage of
if we need extra military support in certain areas we should be able to hire them,We should ban private military companies,wealthy people and companies may need additional military protection and should be able to use it.
"marriage provides a safe, secure foundation for children.",We should abandon marriage,marriage is a solid foundation with which to build a family and it should be held as sacred always.
"all people have the right to give their opinion based on what they read, what they hear and what they understand. it can not be a criminal offense the judgment that a person gives to a historical fact.",Holocaust denial should be a criminal offence,Holocaust denial should not be a criminal offence because it is better to let bad ideas be outcompeted by good ideas than to let them fester and grow out of sight like a cancer.
because it's unethical and unnatural,We should ban human cloning,"we should not ban human cloning, the potential it holds for the medical industry is so valuable we must explore the opportunity."
people have had two chances to reform before their third strike,We should abolish the three-strikes laws,"Three-strikes laws are too harsh. Many people who have committed non-violent felonies - and in some cases, misdemeanors - have been given mandatory life sentences."
Austerity regime is important for maintaining only important spending from government when their is lack of economic growth in the country. It helps in cutting useless spending and revitalize the economy,We should adopt an austerity regime,an austerity regime helps to balance the nation's budget and reduce national debt.
school prayer should be banned as religion has no place in the schools.,We should prohibit school prayer,We should prohibit school prayer as it is not relevant to many of the students within a school and therefore becomes a point of difference.
we should ban factory farming because the majority of conditions is extremely unsatisfactory.,We should ban factory farming,we should ban factory farming because it lead to the abuse of animals
i think that we should ban cosmetic surgery in some cases,We should ban cosmetic surgery,cosmetic surgery is a frivolous waste of resources and should be banned. it takes medical time away from those  in need. cosmetic surgery promotes vanity and self absorption.
Flag burning isn't a big problem in the status quo. Prohibiting it will bring attention to the practice and cause social discontent where there isn't any in the status quo.,We should prohibit flag burning,flag burning should be prohibited because it is a practice used by foreign countries to protest whatever they want about our country.  we should respect our flag.
"trading using an algorithm is more accurate, quicker, and easier.",We should ban algorithmic trading,"algorithmic trading facilitates a more efficient, low cost trading system, lowering barriers to entry."
some foster parents are genuinely good people who want to help children who do not have parents. sometimes these relationships grow into adoption.,Foster care brings more harm than good,"Every system has its failings, but overall people involved in foster care are loving, devoted individuals with the children's best interests in mind."
"homeopathic treatments generally don't improve the patients' conditions and are often used as a replacement for conventional care, which would be more helpful.",Homeopathy brings more harm than good,"Homeopathy is used as a replacement for traditional medicine, which can leave serious ailments untreated."
intelligence tests don't determine someone's real intellect.  that is shown in their everyday lives.,Intelligence tests bring more harm than good,intelligence tests give a skewed and limited view of a student and do not give a full picture of someones abilities and skills.
would help eliminate overcrowding in prisons.,We should legalize cannabis,legalizing cannabis as far as health is concerned can be beneficial since many of these substances are used as treatments for certain diseases
it's unfair to come down so harshly on kids if we have a zero-tolerance policy.  studies have shown that there's absolutely no evidence that this policy reduces violence or drug use by kids.,We should adopt a zero-tolerance policy in schools,we cannot continue to risk the lives of our children and a zero-tolerance policy is a step in the right direction toward solving this horrific problem.
missionary work should be banned as there is so much that needs to be done in our own country.,We should ban missionary work,missionary work should be banned as it can be abused and vulnerable people can be taken advantage of
wikipedia is the largest online encyclopedia in the world and we must ensure its proper functioning,We should subsidize Wikipedia,wikipedia is a valuable resource used by many around the world. it is an important source of knowledge that should be subsidized to ensure it remains free for all to use.
"higher education, such as vocational education, should be paid for only by those partaking in it.  otherwise there would be a lot of wasted funds with drop out rates.",We should subsidize vocational education,"We should subsidize vocational education to support students who wish to follow a different education path to those going to university, who would be ineligible for scholarships and grants."
"reports said many students want to pray, so we should let them do it.",We should prohibit school prayer,"we should prohibit school prayer because not every student may pray in the same way, and some students may not even believe in prayer at all."
"through judicial activism, judges can use their own personal judgement to eliminate laws that they feel are unjust.",We should limit judicial activism,judicial activism should be limited in order to keep personal opinions out of rulings
journalism would be more accurate with subsidization.,We should subsidize journalism,"Subsidizing journalism would result in pro-government bias. Journalists would be less comfortable criticizing the government so as not to""bite the hand that feeds them""."
the olympics is a platform for countries from all over the world to perform. people who may never have had an opportunity to travel can be a part of something truly global.,We should abolish the Olympic Games,the olympic games bring friendly and respectful competition among international athletes and make the world a better place.
"we should subsided student loans because it helps more kids get into college which translates into a better country because we will have doctors, nurses, and other professions that we can't live without.",We should subsidize student loans,"subsidizing student loans will introduce more students to higher education, getting them better jobs so that they can become more productive members of society."
"prostitution is the giving and receiving of pleasure, there is no reason for that to be illegal.",We should legalize prostitution,prostitution should be legalized as it provides a service and reduces rape and sex crimes
people should be free to love as many people as they want,We should legalize polygamy,polygamy should be allowed as people have the right to live their lives according to their own beliefs.
"assisted suicide is wrong, none should take someone's life, there is always hope for the future",Assisted suicide should be a criminal offence,assisted suicides can end the pain of those who are suffering from terminal illnesses.
a zero-tolerance policy in schools should be adopted because it actually prepares the students for the real world.,We should adopt a zero-tolerance policy in schools,"we should adopt a zero-tolerance policy in schools to make it clear that no amount of bullying, bad behavior, or insubordination will be tolerated so we can have safer schools."
the development of autonomous cars will eliminate all deaths due to human errors as 90% of all road fatalities are attributed to human errors.,We should stop the development of autonomous cars,"autonomous cars reduce accidents and keep drunk, drugged and even sleepy drivers from getting behind the wheel."
surrogacy should not be banned because it helps people to have children who otherwise were not able to themselves.,Surrogacy should be banned,surrogacy should be banned as women are being paid to produce a baby and it is not regulated as stringently as it needs to be.
whaling is a deep rooted cultural event that would stall families,We should ban whaling,"whaling is indiscrimate and inhumane, driving various species to the brink of extinction."
There's no need to subsidize vocational education because skills can be learned on the job as apprentices.,We should subsidize vocational education,We should subsidize vocational education because it will lead to a lower unemployment rate.
"women are mentally and physically just as ""tough"" during combat and they have a definite place in combat and should not be prohibited from combat",We should prohibit women in combat,women are just as capable as men to perform the tasks needed in combat and they should not be banned from it.
the divorce rates continue to rise which shows that fewer people believe in a life long committment,We should abandon marriage,"Even with high rates of divorce, married couples and the children of married parents ultimately have more stable and emotionally healthy lives than their unmarried counterparts."
uniforms allow students to look the same and not have to follow the fashion while at school,We should abandon the use of school uniform,uniforms remove some types of peer pressure surrounding students' appearance.
"it doesn't because it gives a child a chance at having a normal life with role models, instead of just staying in an institution.",Foster care brings more harm than good,foster care gets kids out of dangerous situations and into the homes of people who can better care for them.
if no one had weapons then everyone would be equal and crime would dramatically reduce.,We should abolish the right to keep and bear arms,we should abolish the right to keep and bear arms because it can help stop mass shootings
even the government should not have the power to kill anyone they wish.,We should ban targeted killing,targeted killing should be banned because it denies the victim  the right to a fair trial by jury.
women are just as capable as men at performing well in combat situations,We should prohibit women in combat,"women have proven they are equally able to cope physically , mentally and emotionally in combat"
it can help to prevent discrimination,We should end affirmative action,affirmative action helps to combat bias in hiring practices
We should not support this as this has no benefit whatsoever to anyone.,We should adopt atheism,We should not adopt atheism as people should be allowed to retain their own religions or belief systems as they see fit.
algorithmic trading provides a rational method for trading,We should ban algorithmic trading,"algorithmic trading facilitates a more efficient, low cost trading system, lowering barriers to entry."
it can lead to a gender imbalance in society,We should legalize sex selection,sex selection can lead to a gender imbalance if one sex is favoured over the other. this can lead to a lack of suitable partners in the future and people being forced to lead a single life.
we should adopt gender-neutral language because it will stop people from being offended from misidentifying them,We should adopt gender-neutral language,by adopting gender-neutral language there will be more equality and nobody will feel offended or excluded
we should not prohibit school prayer because people have a right to pray if they want to,We should prohibit school prayer,we should not prohibit school prayer because it exposes kids to positive moral beliefs and practices.
compulsory voting improves voting turnaround.,We should introduce compulsory voting,compulsory voting ensures that the winner is truly representative of the entire population.
a prisoner camp should be based in the us so it can be fully governed by american laws.,We should close Guantanamo Bay detention camp,"we should close guantanamo bay since the treatment of these inmates is likely inhumane and some are there with no real proof they belong there, but will never even get a trial."
school uniform should be abolished because it is very expensive,We should abandon the use of school uniform,school uniforms limit a student's individuality and expression of their personality and therefore should be abandoned.
atheism is simply an easy way out for those who do not want the responsibility of answering to a higher power. it should not be adopted at all in any public institutions.,We should adopt atheism,We should not adopt atheism as people should be allowed to retain their own religions or belief systems as they see fit.
Frequent change in foster placement contribute to mental health problems and poor educational achievement,Foster care brings more harm than good,"Foster care offers little stability for children already suffering hardships, putting them at an even greater disadvantage and giving them less of a chance of a normal life."
"if it should end, although food deliveries reach gaza and there is no hunger in gaza, there is poverty and, above all, there is hopelessness",Blockade of the Gaza Strip should be ended,"blockade of the gaza strip should be ended because the conflicts need to be finished, a resolution should be found and people should be able to get back on track with life"
"using factory farming, more animals can be raised enabling more people to be fed at lower prices.",We should ban factory farming,factory farming allows for greater food production to feed a growing population.
capital punishment is inhumane and disrespectful to the sanctity of life,We should abolish capital punishment,capital punishment is inhumane and often an unfit punishment for the crime
we do not have a national language here so adopting a language doesn't seem right.,We should adopt gender-neutral language,adopting a gender neutral language enables us to speak to each other in a more compassionate and understanding way.
legalizing the organ trade would make organs too expensive for most people to afford.,We should legalize organ trade,legalizing the organ trade would bring an end to shortages for transplant
"there are more immediate needs here on earth, there's no reason to explore space.  we have to care for what we have already.",We should subsidize space exploration,space exploration is a good adventure. our planet is in a future risk of extinct and we should best prepare our refuge in space exploration
these cars would be very beneficial for individuals who can no longer drive safely.,We should stop the development of autonomous cars,"these cars are dangerous, we can never program ai to be able to deal with every possible scenario that may arise, plus every computer system is hackable, leaving every one in a car vulnerable to being hijacked."
we should believe in what we see and not what we are told to believe by some book.,We should adopt atheism,We should not adopt atheism as people should be allowed to retain their own religions or belief systems as they see fit.
the olympic games are an excellent place for amateur athletes to compete of a global level.,We should abolish the Olympic Games,the olympic games allow for true amateur athletes to live out their dreams.
people should have the possibility to withdraw when they deem convenient or necessary,We should end mandatory retirement,we should end mandatory retirement because it should be up to each individual what age they feel they are unable to work any longer
homeschooling takes kids away from a social setting and ruins their social skills,Homeschooling should be banned,"homeschooling prevents a child from socialising with his or her own age group, and can cause isolation and loneliness."
pride parades should not be cancelled because they are an important reminder that people from the lgbt communites still face discrimination,We should cancel pride parades,pride parades should be allowed to continue as it allows people to celebrate diversity among human beings.
we should not fight for the abolition of nuclear weapons we need them to defend our country since russia has nuclear weapons.,We should fight for the abolition of nuclear weapons,we should fight for the abolition of nuclear weapons because is fundamental for world peace
Israel is imposing its blockade for its stated reasons of a security measure to prevent weapons from entering Gaza,Blockade of the Gaza Strip should be ended,"Humanitarian arguments against the blockade are overblown, as the blockade is not designed to prevent things like food and medicine from entering Gaza, but rather weapons and other resources that may assist Hamas."
Whales are wonderfully intelligent creatures that don't deserve to be hunted in such a gruesome manner.,We should ban whaling,"whaling is indiscrimate and inhumane, driving various species to the brink of extinction."
the games significantly boost the economy of the host cities,We should abolish the Olympic Games,the olympic games bring friendly and respectful competition among international athletes and make the world a better place.
it is what gets the best leaders to work for one company and not another,We should limit executive compensation,"to attract the best talent at the top, a high level of executive compensation is essential."
"when somebody is not well and needs immediately help, and no other western medicines working then homeotherapy is the only way.",Homeopathy brings more harm than good,"Homeopathy is used as a replacement for traditional medicine, which can leave serious ailments untreated."
if someone feels they can represent themselves in court then they should not be forced to have a public defender,The use of public defenders should be mandatory,public defenders should be mandatory because they can provide free legal representation to those who are accused
its a form of free speech which we do not prohibit in the usa.,We should prohibit flag burning,we should not prohibit flag burning because freedom of speech is one of the defining rights of the american citizens.
Entrapment should not be legalized because it is inducing someone to commit a crime they might not have committed otherwise.,Entrapment should be legalized,entrapment should be legalized because sometimes this tactic is the only way to apprehend repeat offenders.
alternative medicine can be just as effective if not more than doctor prescribed drugs.,Homeopathy brings more harm than good,homeopathy can interact badly with real medicine.
"libertarianism decreases the kind of government assistant programs that assist those in dire needs and circumstances, leaving the most vulnerable in need.",We should adopt libertarianism,"Libertarianism doesn't work. Government intervention and financing are necessary for so many facets of society - education, health, and safety, to name a few."
school uniforms promote a sense of community and pride,We should abandon the use of school uniform,school uniforms reduce bullying and classroom distractions.
Coalitions allow for more compromise and discourse and are only possible in a multiparty system.,We should adopt a multi-party system,a multi-party system allows all political parties to be represented for all people
Criminalizing holocaust denial allows deniers to martyr themselves as champions of free speech and prevents the state from logically deconstructing their argument in a way that the public will believe.,Holocaust denial should be a criminal offence,Holocaust denial propagates negative Jewish stereotypes and encourages Anti-Semitism. It must be stopped.
Holocaust denial is a criminal offense in many countries. The U.S. should follow suit.,Holocaust denial should be a criminal offence,Holocaust denial should not be a criminal offence because it is better to let bad ideas be outcompeted by good ideas than to let them fester and grow out of sight like a cancer.
the intelligence tests can lead to severe depression to those who get low results,Intelligence tests bring more harm than good,Intelligence tests bring more harm than good as they reinforce a feeling of superiority in certain people who may lack other abilities in life.
homeopathy is unknown and unpredictable,Homeopathy brings more harm than good,homeopathy can interact badly with real medicine.
a poll shows that more than 90% of the people are in support of a multi-party system in the usa.,We should adopt a multi-party system,the multi-party system offers voters more choices that may get more people involved in politics
exploring the earth is more important than what’s outside of it and should receive the subsidy instead.,We should subsidize space exploration,we should not subsidize space exploration because the money spent could be put to better use such as hunger and finding homes for our homeless.
we shouldn't ban targeted killing because it is a legitimate tool in foreign wars to take out the biggest enemies. we need to use all the tools available to us.,We should ban targeted killing,targeted killing should be banned because it denies the victim  the right to a fair trial by jury.
telemarketers have to earn a living wage somehow.  it is better than government assistance,We should ban telemarketing,telemarketing is annoying for people as they do not request a phone call and vunerable people such as the elderly often feel threatened into taking part.
this research is extremely valuable and shows a great deal of promise,We should subsidize embryonic stem cell research,embryonic stem cell research has the potential to help cure some of the most devastating diseases
executive compensation is a joke. it's executives rewarding themselves on the backs of shareholders regardless of how well a company performs.,We should limit executive compensation,executive compensation is abuse of unregulated capitalism and concentrates wealth into a very small number of people.
stay-at-home-dads allow for their partner to work outside the home and allow for father child bonding which helps raise children in a productive environment.,We should subsidize stay-at-home dads,being a stay at home parent is a choice and it's no one else's responsibility to ensure an individual can stay at home with their children.
multi-party systems can cause those in charge  a lot of havoc when it comes to law making.  they need to be able to depend on those they work with.,We should adopt a multi-party system,Multi-party systems are not efficient. The ruling coalition often has to negotiate with the minority parties in its coalition in order to pass legislation.
austerity policies offer a tangible way for governments to funnel money to where it is most essentially needed whilst 'cutting the fat'.,We should adopt an austerity regime,an austerity regime hurts the poorest in our society
the social media es very important for free information,Social media brings more harm than good,social media unites people from all over the world and gives people the opportunity to learn more about people and places all over the planet.
"not everyone can afford a lawyer & by making public defenders mandatory, you are allowing a poorer population of people the right to a fair trial as many people are wrongly accused of many crimes",The use of public defenders should be mandatory,having a system where public defenders are mandatory would make it fairer because all defendants would have the same level of defense
we shouldn't limit judicial activism because this is an opportunity for democracy to work. many of the laws treat people unfairly and this type of activism can change politics positively.,We should limit judicial activism,we should limit judicial activism because it takes the fairness out of our judicial system as decisions should never be subjective.
Zoos are too small and do not provide animals with the space and habitat that they are born to.,We should abolish zoos,Zoos keep animals in captivity and deny them the right to their natural environment therefore they should be abolished.
a multi party system will lead to the rise of fringe groups that do not represent the will of the people.,We should adopt a multi-party system,a multi-party system might allow for more and more diverse candidates to come to the forefront of each election.
people are too accustomed to the current system. people aren't knowledgeable enough about more parties. this would lead to chaos in politics.,We should adopt a multi-party system,a multi-party system might allow for more and more diverse candidates to come to the forefront of each election.
"collectivism enhances the happiness of the wider society as a whole, by focusing what is best for everyone",We should oppose collectivism,collectivism creates a negative impact of individuals losing all sense of self-worth and the ability for the individual to think on their own.
intelligence tests bring more harm than good by focusing on strengths and weaknesses.,Intelligence tests bring more harm than good,Intelligence tests bring more harm than good as they reinforce a feeling of superiority in certain people who may lack other abilities in life.
zoos are inhumane structures built to house animals away from their natural environment. zoos  should be abolished and animals returned to their natural homes where they can be free.,We should abolish zoos,Zoos keep animals in captivity and deny them the right to their natural environment therefore they should be abolished.
scientology's hold on people is secured by blackmail from clearing and so should be banned to free people.,We should ban the Church of Scientology,scientology should not be banned as people have the right to worship in whatever religion they wish and in a way they wish to.
we should ban the use of child actors because it exposed them to the horrors of the entertainment industry and cause drug addictions or mental issues when they get older,We should ban the use of child actors,we should ban the use of child actors because it forces them to grow up too quick and could damage them when they get older.
sec selection is a right parents have in the process of childbirth,We should legalize sex selection,Pre-selecting your baby's sex is a form of gender discrimination.
homeschooling is not government regulated.,Homeschooling should be banned,homeschooling is best for children where the schools in the area are not conducive to learning
blockade should be ended as it directly harms the population of gaza.,Blockade of the Gaza Strip should be ended,"blockade of the gaza strip should be ended because the conflicts need to be finished, a resolution should be found and people should be able to get back on track with life"
surrogacy is a monetary transaction which both parties can enter of their own free will.,Surrogacy should be banned,surrogacy allows people who couldn't have children naturally to have their own children through a surrogate parent.
we shouldn't prohibit women in combat because is complementary in event,We should prohibit women in combat,"women should not be excluded from combat based on gender.  combat capabilities are person related, not gender related."
Older workers have more experience and expertise than young workers.,We should end mandatory retirement,By freeing up space across professional hierarchies mandatory retirement provides more opportunities for career growth and upward mobility for younger people.
by the time people are at executive level they have worked long and hard and deserved to be recompensed for their work and ideas at a fair level.,We should limit executive compensation,executives have been appointed or promoted to that position through hard work and deserve to be compensated for such
"urbanization destroys natural habits, impacting negatively the environment and endangering many native species of animals, plants and insect life.",We should fight urbanization,urbanization increases pollution and drains resources.
we cannot deny people the right to the legal protections of marriage if they  choose to form romantic relationships with multiple partners as with same-sex partners,We should legalize polygamy,"polygamy can be a perfectly valid form of union for many people, and legalising it will provide protection and rights for those involved."
entrapment could be the only way to bring to justice highly organised and intelligent criminals.,Entrapment should be legalized,entrapment should be legalized because sometimes this tactic is the only way to apprehend repeat offenders.
legalizing cannabis may cause fewer people to drink and smoke cigarettes which will lead to a healthier society,We should legalize cannabis,legalizing cannabis as far as health is concerned can be beneficial since many of these substances are used as treatments for certain diseases
we should legalize polygamy because it may stop people who go on to take part in sexual crimes because they arent able to go elsewhere,We should legalize polygamy,"polygamy can be a perfectly valid form of union for many people, and legalising it will provide protection and rights for those involved."
legalizing is dangerous for our nation's youth. it if were legal it would be easier to access by younger citizens. this opens up addiction problems at a younger age and exposure to even harder drugs.,We should legalize cannabis,cannabis is known to lead to dependency as well as further drug seeking behaviors and should not be legalized.
"i think homeschooling should be banned because the kids probably don't get vaccinated, there really isn't anyone there to monitor the schooling, and the kids won't get to meet new friends",Homeschooling should be banned,homeschooling should not be banned because in some circumstances for example children living in remote locations it is the only way a child can receive an education
surrogacy is not natural. we are interferring with nature.,Surrogacy should be banned,surrogacy creates a host of complicated issues around parental rights.
economic sanctions hurt innocent people.,We should end the use of economic sanctions,economic sanctions generally end up hurting more than just those they are applied against and are no longer in the best interest of our country
"we should legalize organ trade because it encourages people to give their organs to others in need, therefore saving lives.",We should legalize organ trade,"a legalised organ trade would dramatically improve the stock of transplant organs, saving lives."
we should not subsidize stay-at-home dads because they do not have to pay for gas for their transportation to work and it is their choices to be a stay at home dads,We should subsidize stay-at-home dads,we should subsidize stay at home dads because they can take care of the home and family just like a woman can.
racial profiling has been shown to be an effective tool in crime prevention and therefore we should allow it to continue.,We should end racial profiling,"figures show that certain crimes are perpetrated more by certain races, thus racial profiling is a helpful shortcut for law enforcement."
the vow of celibacy is a useless vow and is quite often broken.,The vow of celibacy should be abandoned,the vow of celibacy is important to some people and to some faiths; it should be a personal decision not something that is simply abandoned entirely.
"Mandatory retirement as a blanket policy is unnecessary, as those who are unable to perform their job can be released for cause without the policy, while valuable employees can remain.",We should end mandatory retirement,we should end mandatory retirement because it should be up to each individual what age they feel they are unable to work any longer
libertarianism maximizes personal freedom and frees people from the inherent debt and tyranny of big government.,We should adopt libertarianism,"Libertarianism doesn't work. Government intervention and financing are necessary for so many facets of society - education, health, and safety, to name a few."
There are some crimes too heinous to ever forgive and there are some criminals too far gone to rehabilitate; in these cases the only solution is capital punishment.,We should abolish capital punishment,capital punishment is inhumane and often an unfit punishment for the crime
entrapment is a breach of individual rights,Entrapment should be legalized,entrapment just encourages criminal activity that may not have otherwise have occurred
Allowing Guantanamo Bay and other similar detention camps around the world to continue operating gives terrorists ammunition in their war against the free world and our democratic values.,We should close Guantanamo Bay detention camp,The existence of Guantanamo Bay serves as a recruiting tool for terrorist groups.
Entrapment should be legalized as it is a useful tool to catch criminals when other strategies have failed.,Entrapment should be legalized,entrapment should be legalized because sometimes this tactic is the only way to apprehend repeat offenders.
"payday loans are evil in that they encourage people on limited income to quickly spiral into debt, meaning they need to borrow more and more and not have enough money for food and heating.",Payday loans should be banned,payday loans take advantage of  the poor while charging insane interest rates.
Banning missionary work would be to religion what a totally government controlled market would be to an economy.,We should ban missionary work,missionary work should be banned as it can be abused and vulnerable people can be taken advantage of
there are much better things to spend money on such as health care and social housing.,We should subsidize journalism,We should not subsidize journalism because there is already sufficient coverage of major issues from different viewpoints without government action.
the military should be a part and controlled by the government,We should ban private military companies,in the interests of national security only governments should be allowed to have military capabilities so private military companies should be banned.
"the vow of celibacy is an out-dated, cruel and unrealistic expectation for priests to uphold and has directly led to the large number of pedophiles in the catholic church.",The vow of celibacy should be abandoned,the vow of celibacy is important to some people and to some faiths; it should be a personal decision not something that is simply abandoned entirely.
naturopathy isn't thoroughly tested by the fda and may pose significant health risks if not utilized properly,We should ban naturopathy,naturopathy isn't thoroughly tested by the fda and may pose significant health risks if not utilized properly
Three-strikes laws are a necessary tool to get the most violent offenders off the streets and keep them from harming more people.,We should abolish the three-strikes laws,"Three-strikes laws are too harsh. Many people who have committed non-violent felonies - and in some cases, misdemeanors - have been given mandatory life sentences."
taxes collected from the legal sale of marijuana could support important public programs,We should legalize cannabis,legalizing cannabis as far as health is concerned can be beneficial since many of these substances are used as treatments for certain diseases
urbanization leads to increased crime and poverty.,We should fight urbanization,urbanization increases pollution and drains resources.
We should legalize organ trade so that more organ donation operations can go ahead and save more lives.,We should legalize organ trade,"a legalised organ trade would dramatically improve the stock of transplant organs, saving lives."
